glottocode	taxon
ngur1263	JE401_Ngoreme
ikiz1238	JE402_Ikizu
suba1238	JE403_Suba
ikiz1238	JE404_Shasi
logo1258	JE41_Maragoli
gusi1247	JE42_Gusii
kuri1259	JE43_Kuria
kuri1259	JE43_Kuria_Mago
kuri1259	JE43_Kuria_Tari
zana1238	JE44_Zanaki
ikom1245	JE45_Nata
chok1245	K11_Ciokwe
luva1239	K14_Lwena
mbun1249	K15_Mbunda
lozi1239	K21_Lozi
luya1241	K31_Luyana
kwan1273	K33_Kwangali
diri1252	K332_Rumanyo
komc1235	Kom_Grassfields
kulu1255	Kulung_Jarawan
phen1239	L11_Pende
holu1245	L12b_Holu
kwes1244	L13_Kwese
lwal1238	L221_Lwalwa
song1303	L23_Songe
luba1250	L31a_Luba-Kasai
kany1247	L32_Kanyok
luba1250	L33_Luba-Shaba
kaon1241	L34_Hemba
sang1331	L35_Sanga
kaon1241	L41_Kaonde
sala1268	L51_Salampasu
lund1266	L52_Lunda
ruun1238	L53_Runda
nkoy1244	L62_Nkoya
pimb1238	M11_Pimbwe
rung1255	M12_Lungwa
fipa1238	M13_Fipa
mamb1296	M14_Rungu
mamb1296	M15_Mambwe
ndal1241	M21_Ndali
wand1264	M21_Wanda
nyih1240	M22_Namwanga
nyih1240	M23_Nyiha
mali1279	M24_Malila
safw1238	M25_Safwa
lamb1272	M28_Lambya
nyak1260	M31_Nyakyusa
taab1238	M41_Taabwa
bemb1257	M42_Bemba
lala1264	M52_Lala
lamb1271	M54_Lamba
lenj1248	M61_Lenje
soli1239	M62_Soli
tong1321	M64_Tonga
mbul1260	Mbula_Jarawan
meta1238	Moghamo_Grassfields
mung1266	Mungaka_Grassfields
mand1423	N11_Manda
ngon1269	N12_Ngoni
mate1258	N13_Matengo
mpot1240	N14_Mpoto
tumb1250	N21_Tumbuka_Malawi
nyan1308	N31_Chewa
kund1255	N42_Kunda
njen1238	Njen_Grassfields
okuu1243	Oku_Grassfields
nden1248	P11_Ndengeleko
rufi1234	P12_Rufiji
matu1259	P13_Matumbi
ngin1244	P14_Ngindo
mbun1248	P15_Mbunga
yaoo1241	P21_Yao
mwer1247	P22_Mwera
mako1251	P23_Simakonde
mako1251	P25_Mabia
makh1264	P31_Emakhua
makh1261	P31G_Ikorovere
umbu1257	R11_Umbundu
kuan1247	R21_Kwanyama
shon1251	R22_Ndonga
here1253	R31_Herero
shon1251	S11_Shona
here1253	S16_Kalanga
vend1245	S21_Venda
tswa1253	S31_Tswana
kgal1244	S311_Shekgalagari
xhos1239	S41_Xhosa
zulu1248	S42_Zulu
nort2795	S44_Ndebele
tswa1255	S51_Tshwa
tson1249	S53_Tsonga
tivv1240	Tiv_Tivoid
mbul1260	Zaambo_Jarawan
