Glottocode,LANG_IS,Shp_Lng,Shap_Ar,L1_Users,Digits,All_Users,Countries,Family,Classification,Latitude,Longitude,EGIDS,Is_Written,glottolog_macroarea,status,family_id,parent_id,latitude,longitude,child_dialect_count,country_ids,family_name,Family_size,DPLACE subsistence,Forager language definite,Forager language possible,ISO3,LON,LAT,island,written,EA033_Extended
abon1238,abo,0.388377256,0.006961663,1000,4,1000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Tivoid",6.9833,10.8082,6a,F,Africa,vulnerable,atla1278,nort3192,6.90621,10.8769,0,CM NG,Atlantic-Congo,1436,NA,0,0,NGA,7.995127754,9.548318418,0,0,NA
abro1238,abr,4.73646945,0.451493411,1385000,7,1385000,2,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Central, Akan",7.535,-2.1438,5,T,Africa,safe,atla1278,akan1251,7.72094,-2.50289,0,CI GH,Atlantic-Congo,1436,1,0,0,GHA,-1.236968556,7.928651813,0,1,1
abua1244,abn,1.002038036,0.03522288,25000,5,25000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Central Delta, Abua-Odual",4.8184,6.6288,6a,T,Africa,safe,atla1278,abua1243,4.83057,6.61492,4,NG,Atlantic-Congo,1436,NA,0,0,NGA,7.995127754,9.548318418,0,1,NA
abua1245,aah,0.687257381,0.021854396,2560,4,2560,1,Torricelli,"Torricelli, Kombio-Arapesh, Arapesh",-3.4341,142.965,6b,F,Papunesia,definitely endangered,nucl1708,buki1250,-3.461612,142.917031,0,PG,Nuclear Torricelli,55,NA,0,0,PNG,144.3312156,-6.645007134,1,0,NA
abui1241,abz,1.085788778,0.051483973,16000,5,16000,1,Trans-New Guinea,"Trans-New Guinea, West, Timor-Alor-Pantar, Alor-Pantar, Alor",-8.3108,124.5938,6a,F,Papunesia,definitely endangered,timo1261,alor1250,-8.31058,124.588,3,ID,Timor-Alor-Pantar,23,1,0,0,NA,NA,NA,1,0,1
abun1252,kgr,3.259425867,0.432690716,3000,4,3000,1,Language isolate,Language isolate,-0.6297,132.3772,5,T,Papunesia,definitely endangered,,,-0.57073,132.416,3,ID,NA,1,NA,0,0,IDN,114.0226835,-0.254301557,1,1,NA
abur1243,abu,1.494751982,0.075213241,55100,5,55100,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Western",5.3288,-3.5329,6a,T,Africa,safe,atla1278,west2816,5.21534,-3.64123,0,CI,Atlantic-Congo,1436,1,0,0,CIV,-5.612043645,7.553755007,0,1,1
abur1244,mgj,0.450212139,0.011883235,NA,NA,NA,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Central Delta",4.6245,6.5062,6a,F,Africa,safe,atla1278,kugb1242,4.62301,6.50634,0,NG,Atlantic-Congo,1436,NA,0,0,NGA,7.995127754,9.548318418,0,0,NA
abuu1241,ado,1.743083776,0.133100639,4200,4,4200,1,Ramu-Lower Sepik,"Ramu-Lower Sepik, Ramu, Grass",-4.3091,144.4888,6a,T,Papunesia,definitely endangered,lowe1437,agoa1234,-4.24027,144.474,3,PG,Lower Sepik-Ramu,30,NA,0,1,PNG,144.3312156,-6.645007134,1,1,NA
acat1239,tpx,1.709511913,0.119746833,40200,5,40200,1,Otomanguean,"Otomanguean, Western Otomanguean, Tlapanec-Manguean, Tlapanec-Subtiaba, Tlapanec",17.2481,-99.0214,6a,T,North America,safe,otom1299,west2948,17.1034,-99.0602,3,MX,Otomanguean,181,NA,0,0,MEX,-102.5763495,23.9353719,0,1,NA
acha1249,acn,1.910987671,0.068284676,62700,5,62700,2,Sino-Tibetan,"Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Burmish, Northern",24.6798,98.7253,5,T,Eurasia,definitely endangered,sino1245,acha1252,24.3479,97.7438,3,CN MM,Sino-Tibetan,496,NA,0,0,CHN,103.8653653,36.60943238,0,1,NA
acha1250,aca,2.467224094,0.278104943,250,3,250,1,Maipurean,"Maipurean, Northern, Upper Amazon, Western Nawiki, Piapoco",4.3739,-72.1966,6b,T,South America,definitely endangered,araw1281,piap1247,4.38649,-72.2005,0,CO,Arawakan,76,NA,0,0,COL,-73.07773209,3.927213863,0,1,NA
ache1244,yif,NA,NA,35000,5,35000,1,Sino-Tibetan,"Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southeastern",24.6831,101.9742,6b,F,Eurasia,vulnerable,sino1245,uncl1517,24.152,102.446,0,CN,Sino-Tibetan,496,NA,0,0,CHN,103.8653653,36.60943238,0,0,NA
ache1245,acz,0.241014375,0.003901133,20000,5,20000,1,Niger-Congo,"Niger-Congo, Kordofanian, Talodi, Talodi Proper, Tocho",10.893,30.1946,5,T,Africa,vulnerable,narr1279,ache1247,10.8827,30.3187,2,SD,Narrow Talodi,8,NA,0,0,SDN,29.86260401,15.990585,0,1,NA
ache1246,guq,4.368913835,0.320762762,910,3,910,1,Tupian,"Tupian, Tupí-Guaraní, Guaraní",-25.5725,-56.4554,5,T,South America,severely endangered,tupi1275,tupi1277,-25.5865,-56.4697,0,PY,Tupian,71,0,1,0,PRY,-58.38738783,-23.24804195,0,1,0
achi1256,acr,2.076068996,0.239883528,82600,5,82600,1,Mayan,"Mayan, Yucatecan-Core Mayan, K’ichean-Mamean, K’ichean, Poqom-K’ichean, Core K’ichean",15.1168,-90.4877,5,T,North America,vulnerable,maya1287,quic1275,15.073,-90.3513,0,GT,Mayan,33,NA,0,0,GTM,-90.36945836,15.69936061,0,1,NA
achi1257,ace,23.14420821,1.43884058,3500000,7,3500000,1,Austronesian,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Chamic, Acehnese",4.5112,95.8965,6b,T,Eurasia,vulnerable,aust1307,cham1327,3.90757,96.6032,7,ID,Austronesian,1276,NA,0,0,IDN,114.0226835,-0.254301557,1,1,NA
achu1247,acv,1.800858844,0.067739833,10,2,10,1,Palaihnihan,Palaihnihan,41.0949,-121.3064,8b,F,North America,critically endangered,pala1350,pala1350,41.0979,-121.191,0,US,Palaihnihan,2,0,1,0,USA,-99.06024063,39.50155413,0,0,0
achu1248,acu,5.037790336,0.869687126,7940,4,7940,2,Jivaroan,"Jivaroan, Jívaro",-2.398,-77.3827,5,T,South America,definitely endangered,jiva1245,shua1256,-2.82646,-77.2641,2,EC PE,Chicham,4,NA,0,0,PER,-74.39180582,-9.191562905,0,1,NA
acol1236,ach,5.878895574,1.364023433,1527000,7,1527000,2,Nilo-Saharan,"Nilo-Saharan, Satellite-Core, Core, Eastern Sudanic, Southern (n languages), Nilotic, Western, Luo, Southern, Luo-Acholi, Alur-Acholi, Lango-Acholi",3.0139,32.5968,5,T,Africa,safe,nilo1247,sout2831,3.57738,32.5147,3,SD UG,Nilotic,55,1,0,0,UGA,32.35754815,1.295486963,0,1,1
adam1253,fub,10.85288846,1.392472782,1007500,7,1007500,5,Niger-Congo,"Niger-Congo, Atlantic-Congo, Atlantic, Northern, Senegambian, Fula-Wolof, Fula, Eastern",6.9116,12.7307,3,T,Africa,safe,atla1278,adam1260,8.140326,13.077338,6,CM ER ET NG SD TD,Atlantic-Congo,1436,1,0,0,CMR,12.61155252,5.66309813,0,1,NA
adan1247,ada,5.367324111,0.380701211,1020000,7,1020000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Ga-Dangme",6.1344,0.0838,4,T,Africa,safe,atla1278,gada1257,5.9437,0.13243,6,GH,Atlantic-Congo,1436,1,0,0,GHA,-1.236968556,7.928651813,0,1,1
adan1248,adq,0.71899412,0.025429626,4000,4,4000,2,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Left Bank, Kposo-Ahlo-Bowili",6.4207,0.7239,6b,F,Africa,vulnerable,atla1278,ewei1234,6.50546,0.727155,0,GH TG,Atlantic-Congo,1436,NA,0,0,GHA,-1.236968556,7.928651813,0,0,NA
adan1251,adn,0.323512214,0.005840709,3000,4,3000,1,Trans-New Guinea,"Trans-New Guinea, West, Timor-Alor-Pantar, Alor-Pantar, Alor",-8.1891,124.4526,6b,F,Papunesia,definitely endangered,timo1261,adan1252,-8.18958,124.448,1,ID,Timor-Alor-Pantar,23,NA,0,0,NA,NA,NA,1,0,NA
adas1235,tiu,1.244085853,0.068737826,4000,4,4000,1,Austronesian,"Austronesian, Malayo-Polynesian, Northern Luzon, Northern Cordilleran, Cagayan Valley, Isnag",17.8218,120.9008,5,T,Papunesia,definitely endangered,aust1307,iban1268,17.8187,120.905,2,PH,Austronesian,1276,NA,0,0,PHL,121.5444424,15.75094435,1,1,NA
adel1244,ade,1.063660606,0.056715539,37400,5,37400,2,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Basila-Adele",8.1951,0.7369,5,T,Africa,safe,atla1278,basi1245,8.16975,0.619185,2,GH TG,Atlantic-Congo,1436,NA,0,0,GHA,-1.236968556,7.928651813,0,1,NA
adho1243,adh,1.119841937,0.072748205,482000,6,482000,1,Nilo-Saharan,"Nilo-Saharan, Satellite-Core, Core, Eastern Sudanic, Southern (n languages), Nilotic, Western, Luo, Southern, Adhola",0.7041,34.0329,5,T,Africa,safe,nilo1247,adho1242,0.73235,34.0341,0,KE UG,Nilotic,55,NA,0,0,UGA,32.35754815,1.295486963,0,1,NA
adio1239,adj,1.549950894,0.117517486,143000,6,143000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby",5.3782,-4.5254,5,T,Africa,safe,atla1278,agne1238,5.38228,-4.52522,0,CI,Atlantic-Congo,1436,NA,0,0,CIV,-5.612043645,7.553755007,0,1,NA
adiv1239,ort,2.347051074,0.274542286,200000,6,400000,1,Indo-European,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Oriya",18.2148,82.6097,5,T,Eurasia,safe,indo1319,macr1269,18.1046,82.8487,0,IN,Indo-European,588,NA,0,0,IND,79.59370376,22.92500641,0,1,NA
adiw1235,gas,2.927446424,0.485305554,100000,6,100000,1,Indo-European,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil",24.3645,72.1171,6a,T,Eurasia,safe,indo1319,gara1268,24.0712,73.1426,0,IN,Indo-European,588,NA,0,0,IND,79.59370376,22.92500641,0,1,NA
adny1235,adt,5.273924955,1.214393657,110,3,110,1,Australian,"Australian, Pama-Nyungan, South-West, Yura",-30.2083,138.6913,8b,F,Australia,definitely endangered,pama1250,nort2752,-30.1451,138.671,0,AU,Pama-Nyungan,248,NA,1,0,AUS,134.3760786,-25.56076406,0,0,NA
adon1237,adr,1.34536408,0.048384065,98000,5,98000,1,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Bima-Lembata",-8.3446,123.1545,6a,F,Papunesia,safe,aust1307,nort3216,-8.32027,123.159,10,ID,Austronesian,1276,NA,0,0,NA,NA,NA,1,0,NA
adyg1241,ady,2.09406185,0.062342573,575900,6,575900,6,North Caucasian,"North Caucasian, West Caucasian, Circassian",44.8833,39.1866,2,T,Eurasia,vulnerable,abkh1242,circ1239,44,39.33,5,IL JO RU SY TR,Abkhaz-Adyge,5,NA,0,0,RUS,99.21652679,61.69256471,0,1,NA
adze1240,adz,1.996345461,0.139630348,30000,5,30000,1,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Huon Gulf, Markham, Upper",-6.3408,146.2702,4,T,Papunesia,vulnerable,aust1307,uppe1423,-6.39394,146.294,0,PG,Austronesian,1276,1,0,0,PNG,144.3312156,-6.645007134,1,1,0
aeka1244,aez,0.890850818,0.039357768,3400,4,3400,1,Trans-New Guinea,"Trans-New Guinea, Greater Binanderean, Binanderean, Nuclear Binanderean, South Binanderean, Orokaivan",-8.5898,147.9612,5,T,Papunesia,safe,nucl1709,orok1268,-8.855095,147.99477,0,PG,Nuclear Trans New Guinea,316,NA,0,0,PNG,144.3312156,-6.645007134,1,1,NA
aeky1238,awi,2.981735439,0.386904425,8000,4,8000,1,Trans-New Guinea,"Trans-New Guinea, Awin-Pare",-5.8178,141.4791,5,T,Papunesia,safe,kamu1264,awin1249,-5.88478,141.532,3,PG,Kamula-Elevala,3,NA,0,1,PNG,144.3312156,-6.645007134,1,1,NA
aerr1238,aeq,0.012630057,1.23E-05,100,3,100,1,Indo-European,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Gujarati",25.1692,69.5458,6b,F,Eurasia,definitely endangered,indo1319,west2830,25.254,69.029,2,PK,Indo-European,588,NA,0,0,PAK,69.41399806,29.97346003,0,0,NA
afad1236,aal,1.211325062,0.063136519,5000,4,5000,2,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North",12.2404,14.6906,6a,T,Africa,vulnerable,afro1255,koto1268,12.0551,14.6343,0,CM NG,Afro-Asiatic,375,NA,0,0,CMR,12.61155252,5.66309813,0,1,NA
afar1241,aar,11.11366408,3.705275531,1951000,7,1973800,3,Afro-Asiatic,"Afro-Asiatic, Cushitic, East, Saho-Afar",11.6749,40.8552,2,T,Africa,safe,afro1255,saho1245,12.2281,41.8083,4,DJ ER ET,Afro-Asiatic,375,1,0,0,ETH,39.55125579,8.653999188,0,1,1
afit1238,aft,0.496776631,0.017524813,4000,4,4000,1,Nilo-Saharan,"Nilo-Saharan, Satellite-Core, Core, Eastern Sudanic, Northern (k languages), Nyimang",12.4439,30.765,6b,F,Africa,definitely endangered,nyim1244,nyim1244,12.446,30.7611,0,SD,Nyimang,2,NA,0,0,SDN,29.86260401,15.990585,0,0,NA
afud1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa,safe,atla1278,unun9911,9.831149,11.296849,0,NG,Atlantic-Congo,1436,NA,0,0,NGA,7.995127754,9.548318418,0,NA,NA
agar1252,agd,0.806101126,0.042870089,27000,5,27000,1,Trans-New Guinea,"Trans-New Guinea, Kainantu-Goroka, Kainantu, Gadsup-Auyana-Awa",-6.1933,145.9116,5,T,Papunesia,safe,nucl1709,gads1260,-6.20604,145.917,0,PG,Nuclear Trans New Guinea,316,NA,0,0,PNG,144.3312156,-6.645007134,1,1,NA
agat1236,agc,2.933424982,0.31680232,70000,5,70000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Idomoid, Akweya, Etulo-Idoma, Idoma",7.9076,7.7529,6a,T,Africa,safe,atla1278,nucl1732,7.97915,7.71639,0,NG,Atlantic-Congo,1436,NA,0,0,NGA,7.995127754,9.548318418,0,1,NA
aghe1239,agq,0.483871784,0.015109576,26700,5,26700,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Wide Grassfields, Narrow Grassfields, Ring, West",6.3863,10.0749,5,T,Africa,safe,atla1278,west2835,6.38956,10.0807,0,CM,Atlantic-Congo,1436,NA,0,0,CMR,12.61155252,5.66309813,0,1,NA
aghu1253,agx,1.235183942,0.057747913,29300,5,29300,1,North Caucasian,"North Caucasian, East Caucasian, Lezgic, Nuclear Lezgic, East Lezgic",41.8096,47.5668,6a,T,Eurasia,definitely endangered,nakh1245,aghu1259,41.9242,47.5843,4,AZ RU,Nakh-Daghestanian,34,NA,0,0,RUS,99.21652679,61.69256471,0,1,NA
aghu1255,ahh,1.903249887,0.233388793,3000,4,3000,1,Trans-New Guinea,"Trans-New Guinea, Ok-Awyu, Awyu-Dumut, Awyu",-6.3452,140.0994,6b,F,Papunesia,vulnerable,nucl1709,mapp1234,-6.34674,140.043,0,ID,Nuclear Trans New Guinea,316,NA,0,0,IDN,114.0226835,-0.254301557,1,0,NA
agii1245,aif,0.253727537,0.004304243,960,3,960,1,Torricelli,"Torricelli, Wapei-Palei, Palei",-3.4934,142.4198,6a,F,Papunesia,definitely endangered,nucl1708,agiy1234,-3.49104,142.387,0,PG,Nuclear Torricelli,55,NA,0,0,PNG,144.3312156,-6.645007134,1,0,NA
agob1244,kit,2.25258708,0.221207279,2440,4,2440,1,South-Central Papuan,"South-Central Papuan, Pahoturi",-8.9978,142.6003,5,T,Papunesia,safe,paho1240,paho1240,-9.08521,142.532,3,PG,Pahoturi,2,NA,1,0,PNG,144.3312156,-6.645007134,1,1,NA
agoi1246,ibm,1.347637018,0.052400351,12000,5,12000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Agoi-Doko-Iyoniyong",5.6681,8.2734,6a,F,Africa,safe,atla1278,agoi1245,5.87953,8.21629,1,NG,Atlantic-Congo,1436,NA,0,0,NGA,7.995127754,9.548318418,0,0,NA
agta1234,apf,2.62620387,0.186517217,1700,4,1700,1,Austronesian,"Austronesian, Malayo-Polynesian, Northern Luzon, Northern Cordilleran, Northeastern Luzon",17.0538,122.2802,5,T,Papunesia,safe,aust1307,para1320,17.0538,122.2802,0,PH,Austronesian,1276,0,0,0,PHL,121.5444424,15.75094435,1,1,0
agua1252,agu,0.657706079,0.023723931,9610,4,9610,1,Mayan,"Mayan, Yucatecan-Core Mayan, K’ichean-Mamean, Mamean, Awakateko-Ixil",15.3387,-91.3166,4,T,North America,vulnerable,maya1287,ixil1250,15.3307,-91.3153,0,GT,Mayan,33,NA,0,0,GTM,-90.36945836,15.69936061,0,1,NA
agua1253,agr,8.504051841,2.717383536,53400,5,53400,1,Jivaroan,Jivaroan,-5.2721,-77.9536,4,T,South America,vulnerable,jiva1245,jiva1245,-5.30044,-77.9218,0,PE,Chicham,4,NA,0,0,PER,-74.39180582,-9.191562905,0,1,NA
agun1238,aug,1.102603418,0.040641652,28000,5,28000,2,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Left Bank, Gbe",7.5628,1.7124,6a,F,Africa,definitely endangered,atla1278,ewei1234,7.49256,1.74452,0,BJ TG,Atlantic-Congo,1436,NA,0,0,BEN,2.337377553,9.647430781,0,0,NA
agus1235,msm,4.902631466,0.689555741,60000,5,60000,1,Austronesian,"Austronesian, Malayo-Polynesian, Greater Central Philippine, Manobo, Central, East",8.5595,125.8487,5,T,Papunesia,safe,aust1307,east2478,8.62731,125.742,3,PH,Austronesian,1276,1,0,0,PHL,121.5444424,15.75094435,1,1,0
agut1237,agn,1.926256046,0.017620411,15000,5,15000,1,Austronesian,"Austronesian, Malayo-Polynesian, Kalamian",10.3798,119.4323,5,T,Papunesia,safe,aust1307,kala1389,10.5328,119.655,0,PH,Austronesian,1276,NA,0,0,PHL,121.5444424,15.75094435,1,1,NA
agwa1247,yay,0.616278824,0.017717101,20000,5,20000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Central, North-South, Ubaghara-Kohumono, Kohumono",5.7111,8.0041,5,T,Africa,safe,atla1278,kohu1243,5.81055,8.03166,7,NG,Atlantic-Congo,1436,NA,0,0,NGA,7.995127754,9.548318418,0,1,NA
ahan1243,aha,1.132852307,0.04650584,175000,6,175000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Central, Bia, Southern",4.8596,-1.9448,5,T,Africa,safe,atla1278,sout2779,4.85147,-1.94657,0,GH,Atlantic-Congo,1436,NA,0,0,GHA,-1.236968556,7.928651813,0,1,NA
ahan1244,ahn,0.61074271,0.014756955,300,3,300,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Defoid, Ayere-Ahan",7.7306,5.8362,6a,F,Africa,definitely endangered,atla1278,ayer1244,7.44139,6.00896,0,NG,Atlantic-Congo,1436,NA,0,0,NGA,7.995127754,9.548318418,0,0,NA
aheu1239,thm,0.348789805,0.006652262,700,3,700,2,Austro-Asiatic,"Austro-Asiatic, Mon-Khmer, Viet-Muong, Thavung",17.2938,103.4455,6b,F,Eurasia,definitely endangered,aust1305,chut1252,17.7655,104.229,0,LA TH,Austroasiatic,156,NA,0,0,THA,101.0061335,15.01697499,0,0,NA
ahin1234,kak,1.370859063,0.07174735,100000,6,100000,1,Austronesian,"Austronesian, Malayo-Polynesian, Northern Luzon, Meso-Cordilleran, South-Central Cordilleran, Southern Cordilleran, West Southern Cordilleran, Nuclear Southern Cordilleran, Kallahan",16.3384,120.9097,5,T,Papunesia,safe,aust1307,kall1244,16.321,120.90003,2,PH,Austronesian,1276,NA,0,0,PHL,121.5444424,15.75094435,1,1,NA
ahte1237,aht,4.568452458,0.179390891,45,2,45,1,Eyak-Athabaskan,"Eyak-Athabaskan, Athabaskan, Northern Athabaskan",61.5959,-144.5317,8a,F,North America,critically endangered,atha1245,sout3337,61.7068,-144.889,5,US,Athabaskan-Eyak-Tlingit,46,NA,1,0,USA,-99.06024063,39.50155413,0,0,NA
ahwa1235,nfd,0.445886713,0.008900866,18000,5,18000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Central, West-Central",9.2333,8.5412,6a,F,Africa,safe,atla1278,benu1248,9.17635,8.56205,0,NG,Atlantic-Congo,1436,NA,0,0,NGA,7.995127754,9.548318418,0,0,NA
aich1238,aih,0.414187194,0.01051787,2700,4,2700,1,Tai-Kadai,"Tai-Kadai, Kam-Tai, Kam-Sui",25.4887,107.8381,6b,F,Eurasia,vulnerable,taik1256,maka1300,25.4908,107.844,2,CN,Tai-Kadai,95,NA,0,0,CHN,103.8653653,36.60943238,0,0,NA
aigh1235,aix,1.864296482,0.198833837,2000,4,2000,1,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Pasismanua",-5.9498,150.2579,6a,T,Papunesia,safe,aust1307,pasi1254,-5.99488,150.272,3,PG,Austronesian,1276,NA,0,0,PNG,144.3312156,-6.645007134,1,1,NA
aika1237,tba,0.399271491,0.011438957,150,3,150,1,Language isolate,Language isolate,-12.5245,-60.7621,6b,F,South America,vulnerable,,,-12.6695,-60.5353,1,BR,NA,1,NA,0,0,BRA,-53.05434004,-10.80677364,0,0,NA
